CASEID,RESOURCE,ROUND,EVENTID,ACTIVITY,STAGE,START,END,VIDEOSTART,VIDEOEND
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539301115461,Hand washing,Operator and Patient Preparation,10/11/2018 23:00:55,10/11/2018 23:01:07,55,67
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539301145312,Ultrasound configuration,Ultrasound Preparation,10/11/2018 23:01:24,10/11/2018 23:02:17,84,137
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539301204591,Anatomic identification,Locate Structures,10/11/2018 23:02:23,10/11/2018 23:02:23,143,143
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539301214887,Compression identification,Locate Structures,10/11/2018 23:02:34,10/11/2018 23:02:34,154,154
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539301252286,Gel in probe,Ultrasound Preparation,10/11/2018 23:03:11,10/11/2018 23:03:18,191,198
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539301297253,Get in sterile clothes,Operator and Patient Preparation,10/11/2018 23:03:56,10/11/2018 23:04:04,236,244
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539301310093,Hand washing,Operator and Patient Preparation,10/11/2018 23:04:09,10/11/2018 23:04:14,249,254
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539301317097,Get in sterile clothes,Operator and Patient Preparation,10/11/2018 23:04:16,10/11/2018 23:07:06,256,426
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539301466782,Clean puncture area,Operator and Patient Preparation,10/11/2018 23:07:25,10/11/2018 23:08:06,445,486
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539301504204,Drap puncture area,Operator and Patient Preparation,10/11/2018 23:08:14,10/11/2018 23:09:12,494,552
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539301584135,Cover probe,Ultrasound Preparation,10/11/2018 23:09:43,10/11/2018 23:11:12,583,672
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539301692790,Put sterile gel,Ultrasound Preparation,10/11/2018 23:11:32,10/11/2018 23:11:44,692,704
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539301720926,Anatomic identification,Locate Structures,10/11/2018 23:12:00,10/11/2018 23:12:00,720,720
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539301727414,Ultrasound configuration,Ultrasound Preparation,10/11/2018 23:12:06,10/11/2018 23:12:13,726,733
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539301770041,Prepare implements,Operator and Patient Preparation,10/11/2018 23:12:49,10/11/2018 23:14:15,769,855
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539301834062,Anesthetize,Venous puncture,10/11/2018 23:14:25,10/11/2018 23:14:31,865,871
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539301933206,Anatomic identification,Locate Structures,10/11/2018 23:15:14,10/11/2018 23:15:14,914,914
