data	company	n	delta	Lat	Lon
2017-02-01	PANDAPEL SRL	3	0	44.4937	11343
2017-02-01	NICHOLAS KIRKWOOD LTD	35	0	51.5073	-0.127647
2017-02-01	DISGRAMARC S.L.	3	0	38479	-0.795676
2017-02-01	RUCOLINE SPA	2	0	43.8295	10.5303
2017-02-01	BOEMOS SPA - INDUSTRIA CALZATU	1	0	43.7292	10.8082
2017-02-01	BOTTONIFICIO LEONARDO SRL	3	0	43.7332	11.0209
2017-02-01	SACCARDI PELLETTERIE SRL	2	0	43.7567	11.1848
2017-02-01	ITALFIBBIA SRL	64	0	43.8317	11.1992
2017-02-01	AQUAZZURA ITALIA SRL	2	0	43.7699	11.2556
2017-02-01	BULGARI ACCESSORI SRL	8	0	43.7699	11.2556
2017-02-01	SALVATORE FERRAGAMO SPA	3	0	43.7699	11.2556
2017-02-01	IL GIOIELLO DI FIRENZE SRL	1	0	43.7522	11.32
2017-02-01	ROSSIMODA SPA	8	0	45.4433	11.9834
2017-02-01	RICCI ENRICO SRL	4	0	44.1065	12.4149
2017-02-01	EFFEUNO SRL	4	0	41.8933	12.4829
2017-02-01	FENDI SRL	37	0	41.8933	12.4829
2017-02-01	ARTIGIANI VENEZIANI SRL	1	0	45.4991	12.5449
2017-02-01	MERCURI MODA SRL	4	0	43.2567	13.7608
2017-02-01	LN MANIFACTURING SRL	3	0	40.8359	14.2488
2017-02-01	JEANNOT S SRL	1	0	41.1992	16.5968
2017-02-01	GDA SRL	1	0	40.1743	18.1678
2017-02-01	CHRISTIAN LOUBOUTIN S.A.S.	11	0	48.8566	2.3515
2017-02-01	CHRISTIAN LOUBOUTIN SAS	11	0	48.8566	2.3515
2017-02-01	MANDO SARL	6	0	48.8566	2.3515
2017-02-01	CALZATURIFICIO MARTINI SRL	2	0	45.7465	8.43607
2017-02-01	GIOVANNI MONTE SRL	4	0	45.5586	8.94789
2017-02-01	SEYMECHAMLOU SRL	1	0	45.5567	8.97774
2017-02-01	DOLCE & GABBANA SRL	8	0	45.4668	9.1905
2017-02-01	PRADA SPA	9	0	45.4668	9.1905
2017-02-01	VALENTINO SPA	6	0	45.4668	9.1905
2017-02-02	FRILLY INC.	2	0	34.0549	-118244
2017-02-02	ARTIGIANI DEL LUSSO DI DEVITO	4	0	43771	11.1072
2017-02-02	PELLETTERIA ALMAX SRL	1	0	43.7567	11.1848
2017-02-02	AQUAZZURA ITALIA SRL	1	0	43.7699	11.2556
2017-02-02	TOMMY SRL	2	0	45.4173	12.0332
2017-02-02	RICCI ENRICO SRL	1	0	44.1065	12.4149
2017-02-02	EFFEUNO SRL	2	0	41.8933	12.4829
2017-02-02	FENDI SRL	71	0	41.8933	12.4829
2017-02-02	JOHARI DI GIULIANA MANCINELLI	6	0	41.8933	12.4829
2017-02-02	KALLISTE'  SRL	3	0	45.4991	12.5449
2017-02-02	CALZATURIFICIO ROMIT SPA	1	0	43.2325	13.6316
2017-02-02	FED SRL	2	0	42821	13.7179
2017-02-02	BAMBOLETTA SRL	1	0	43.3055	13.7229
2017-02-02	DIMENSIONE 2000 SRL	1	0	43.2567	13.7608
2017-02-02	SANTAMARIA SRL	1	0	40.9732	14.2049
2017-02-02	ABC CARUSO GROUP SRL	2	1	40.8359	14.2488
2017-02-02	LEO SHOES SRL	5	0	40.0109	18.1617
2017-02-02	CHRISTIAN LOUBOUTIN SAS	10	0	48.8566	2.3515
2017-02-02	ARCOBALENO S.R.L.	5	0	45.6599	8.7932
2017-02-02	ANAGRAFICA PER INVIO CAMPIONI	46	0	45.6851	8.93814
2017-02-02	GIOVANNI MONTE SRL	2	0	45.5586	8.94789
2017-02-02	SEYMECHAMLOU SRL	2	0	45.5567	8.97774
2017-02-02	OLTRONA PLAST SRL	1	0	45.7156	8.98307
2017-02-02	DOLCE & GABBANA SRL	44	0	45.4668	9.1905
2017-02-02	DSQUARED2 SPA	13	0	45.4668	9.1905
2017-02-02	VALENTINO SPA	10	0	45.4668	9.1905
2017-02-02	ROMANO MARTEGANI SRL CALZATURI	6	0	45.6989	9.20915
2017-02-03	LIMANI CO, LTD	15	0	34.6969	139405
2017-02-03	CANO ART. CALZADO S.L.	25	0	38.5869	-0.672549
2017-02-03	C&C METAL PRODUCTS CORP.METAL	4	0	40.8929	-73.9726
2017-02-03	LA BETE BRAND INC	6	0	40.7306	-73.9866
2017-02-03	CLASSICAL ELEMENTS	9	0	35.8235	-78.8256
2017-02-03	AQUAZZURA ITALIA SRL	11	0	43.7699	11.2556
2017-02-03	FGF SRL	6	0	44011	11.3313
2017-02-03	RICCI ENRICO SRL	1	0	44.1065	12.4149
2017-02-03	FENDI SRL	17	0	41.8933	12.4829
2017-02-03	AEFFE SPA	2	0	43.9387	12.7125
2017-02-03	MENGHI SHOES & CO. S.R.L.	10	0	43441	13.6088
2017-02-03	CALZATURIFICIO ROMIT SPA	1	0	43.2325	13.6316
2017-02-03	CALZATURIFICIO MELIN SRL	4	0	43.2347	13.6879
2017-02-03	ABC CARUSO GROUP SRL	3	1	40.8359	14.2488
2017-02-03	LN MANIFACTURING SRL	3	0	40.8359	14.2488
2017-02-03	CHRISTIAN LOUBOUTIN SAS	4	0	48.8566	2.3515
2017-02-03	BIRKENSTOCK PRODUCTIONS GMBH	19	0	50.6216	7.42607
2017-02-03	GIOVANNI MONTE SRL	1	0	45.5586	8.94789
2017-02-03	ANGIPLAST SNC DI CASTELLANA E	2	0	45.6752	8.95576
2017-02-03	C.L. SERVICES TECHNIQUES SRL	3	0	45.5567	8.97774
2017-02-03	SEYMECHAMLOU SRL	7	0	45.5567	8.97774
2017-02-03	DOLCE & GABBANA SRL	40	0	45.4668	9.1905
2017-02-03	PRADA SPA	1	0	45.4668	9.1905
2017-02-03	VALENTINO SPA	5	0	45.4668	9.1905
2017-02-06	SUNGJOO D AND D INC	24	0	37.5667	126978
2017-02-06	BURBERRY LIMITED	49	0	51.5073	-0.127647
2017-02-06	CHRISTOPHER KANE LTD	8	0	51.5073	-0.127647
2017-02-06	CAMUTO GROUP LLC	11	0	41.5375	-72.6275
2017-02-06	BOTTONIFICIO LEONARDO SRL	4	3	43.7332	11.0209
2017-02-06	IL GIOIELLO DI FIRENZE SRL	1	0	43.7522	11.32
2017-02-06	FGF SRL	1	0	44011	11.3313
2017-02-06	MORELLATO SPA	2	0	46.0636	11.4672
2017-02-06	CALZATURIFICIO NERI SRL	6	0	45.4173	12.0332
2017-02-06	RICCI ENRICO SRL	1	0	44.1065	12.4149
2017-02-06	FENDI SRL	38	0	41.8933	12.4829
2017-02-06	MENGHI SHOES & CO. S.R.L.	4	0	43441	13.6088
2017-02-06	FED SRL	1	0	42821	13.7179
2017-02-06	LEO SHOES SRL	3	0	40.0109	18.1617
2017-02-06	CHRISTIAN LOUBOUTIN SAS	33	0	48.8566	2.3515
2017-02-06	USE INTERNATIONAL ZRT	6	0	48.1032	20.7902
