data,company,n,delta,Lat,Lon
2017-02-01,GOERLACH  BESATZSCHMUCK  GmbH,1,0,47.8804,10.6222
2017-02-03,MARIO UBOLDI,2,2,45.7133,8.90516
2017-02-03,METALLURGICA LOMBARDA SRL,2,0,45.3987,8.91623
2017-02-03,IL GRANELLO SCARL,21,0,45.6588,8.97193
2017-02-06,OMS ITALIA SRL,2,3,43.7755,11.4399
2017-02-06,CAROLLO SRL,10,0,45.7542,8.89674
2017-02-08,C&C METAL PRODUCTS CORP.METAL,3,0,40.8929,-74.9726
2017-02-08,GAMMA PLAST SNC DI REGALIA FRA,2,0,45.6119,8.85205
2017-02-09,MANICARDI SRL,1,0,44.7836,10.8855
2017-02-09,CAROLLO SRL,2,0,45.7542,8.89674
2017-02-09,QUADRIFER SRL,5,0,45.7133,8.90516
2017-02-09,METALLURGICA LOMBARDA SRL,1,0,45.3987,8.91623
2017-02-09,NOVA RAMPALUX SNC,13,0,45.6915,8.93154
2017-02-10,COLOR-PLAST SRL,5,0,45.7133,8.90516
2017-02-10,OLTRONA PLAST SRL,1,1,45.7156,8.98307
2017-02-10,SPM SRL DIE CASTING,1,0,45.5991,9.88497
2017-02-13,STEAL SRL,1,0,45.4936,10.9392
2017-02-13,MBA F.LLI LANDI SRL,1,3,43.6587,11.2976
2017-02-13,PRIORE SRL,2,0,45.7045,8.87429
2017-02-13,CAROLLO SRL,2,0,45.7542,8.89674
2017-02-13,METALLURGICA LOMBARDA SRL,2,0,45.3987,8.91623
2017-02-13,SPM SRL DIE CASTING,2,0,45.5991,9.88497
2017-02-14,S.R. PLAST DI RIMOLDI & C. SNC,1,1,45.6909,8.87246
2017-02-14,SPM SRL DIE CASTING,1,0,45.5991,9.88497
2017-02-15,C&C METAL PRODUCTS CORP.METAL,4,0,40.8929,-73.9726
2017-02-15,S.R. PLAST DI RIMOLDI & C. SNC,1,1,45.6909,8.87246
2017-02-15,PRIORE SRL,3,0,45.7045,8.87429
2017-02-15,NOVA RAMPALUX SNC,5,0,45.6915,8.93154
2017-02-15,SPM SRL DIE CASTING,1,0,45.5991,9.88497
2017-02-16,METALLURGICA LOMBARDA SRL,3,0,45.3987,8.91623
2017-02-16,NOVA RAMPALUX SNC,5,0,45.6915,8.93154
2017-02-16,CC STAMPI SRL,1,1,45.4668,9.1905
2017-02-16,SPM SRL DIE CASTING,1,0,45.5991,9.88497
2017-02-20,CAROLLO SRL,4,4,45.7542,8.89674
2017-02-21,RIBELLE SRL UNIPERSONALE,1,0,44.8224,10.8892
2017-02-21,EUROMINUTERIE SRL,1,1,45.4077,11.8734
2017-02-21,GER.MAC STAMPI SAS,1,0,45.7133,8.90516
2017-02-22,C&C METAL PRODUCTS CORP.METAL,3,0,40.8929,-73.9726
2017-02-22,CHERRY CHARM XIAO LING RAIMEN,2,0,33.0821,10.7031
2017-02-22,MBA F.LLI LANDI SRL,1,1,43.6587,11.2976
2017-02-23,COLOR-PLAST SRL,4,0,45.7133,8.90516
2017-02-23,METALLURGICA LOMBARDA SRL,10,0,45.3987,8.91623
2017-02-23,IL GRANELLO SCARL,2,0,45.6588,8.97193
2017-02-23,OLTRONA PLAST SRL,2,0,45.7156,8.98307
2017-02-23,RAVAGO ITALIA SPA,1,1,45.5914,9.80926
2017-02-23,SPM SRL DIE CASTING,3,0,45.5991,9.88497
2017-02-24,MONTALBETTI MARIO S.N.C.,2,0,45.6909,8.87246
2017-02-24,NOVA RAMPALUX SNC,2,0,45.6915,8.93154
2017-02-24,OLTRONA PLAST SRL,1,1,45.7156,8.98307
2017-02-27,MBA F.LLI LANDI SRL,1,3,43.6587,11.2976
2017-02-27,QUADRIFER SRL,1,0,45.7133,8.90516
2017-02-27,SPM SRL DIE CASTING,1,0,45.5991,9.88497
2017-02-28,C&C METAL PRODUCTS CORP.METAL,2,0,40.8929,-73.9726
2017-02-28,IL GRANELLO SCARL,1,1,45.6588,8.97193
2017-03-02,PRIORE SRL,2,0,45.7045,8.87429
2017-03-02,MARIO UBOLDI,1,2,45.7133,8.90516
2017-03-02,METALLURGICA LOMBARDA SRL,5,0,45.3987,8.91623
2017-03-06,CAROLLO SRL,3,0,45.7542,8.89674
2017-03-06,OLTRONA PLAST SRL,4,0,45.7156,8.98307
2017-03-07,GAMMA PLAST SNC DI REGALIA FRA,2,0,45.6119,8.85205
2017-03-07,S.R. PLAST DI RIMOLDI & C. SNC,1,0,45.6909,8.87246
2017-03-07,RIBO PALLETS SRL,1,0,45.6689,8.87277
2017-03-07,PRIORE SRL,2,0,45.7045,8.87429
2017-03-08,QUADRIFER SRL,1,1,45.7133,8.90516
2017-03-09,MARIO UBOLDI,2,0,45.7133,8.90516
2017-03-09,METALLURGICA LOMBARDA SRL,7,0,45.3987,8.91623
2017-03-09,MAFLEX SRL,2,1,45.6851,8.93814
2017-03-10,MANICARDI SRL,1,1,44.7836,10.8855
2017-03-10,OLTRONA PLAST SRL,1,0,45.7156,8.98307
2017-03-13,C&C METAL PRODUCTS CORP.METAL,3,0,40.8929,-73.9726
2017-03-13,MANICARDI SRL,1,3,44.7836,10.8855
2017-03-13,S.R. PLAST DI RIMOLDI & C. SNC,1,0,45.6909,8.87246
2017-03-13,PRIORE SRL,1,0,45.7045,8.87429
2017-03-13,COLOR-PLAST SRL,10,0,45.7133,8.90516
2017-03-13,FONTANA SRL,4,0,45.5705,8.92679
2017-03-13,IL GRANELLO SCARL,4,0,45.6588,8.97193
2017-03-14,CAROLLO SRL,7,0,45.7542,8.89674
2017-03-14,NOVA RAMPALUX SNC,17,0,45.6915,8.93154
2017-03-14,CC STAMPI SRL,1,1,45.4668,9.1905
2017-03-16,METALLURGICA LOMBARDA SRL,3,0,45.3987,8.91623
2017-03-16,OLTRONA PLAST SRL,1,0,45.7156,8.98307
2017-03-17,MARIO UBOLDI,2,0,45.7133,8.90516
2017-03-17,COLOR-PLAST SRL,3,0,45.7133,8.90516
2017-03-17,MAFLEX SRL,1,1,45.6851,8.93814
2017-03-20,DIMAR CONCERIA SRL,10,0,45.4898,11.3623
2017-03-20,PRIORE SRL,1,3,45.7045,8.87429
2017-03-21,COLOR-PLAST SRL,5,0,45.7133,8.90516
2017-03-23,METALLURGICA LOMBARDA SRL,11,0,45.3987,8.91623
2017-03-24,PRIORE SRL,8,0,45.7045,8.87429
2017-03-24,CAROLLO SRL,5,0,45.7542,8.89674
2017-03-24,COLOR-PLAST SRL,4,0,45.7133,8.90516
2017-03-24,NORDIMBALLI SRL,1,1,45.7245,9.03806
2017-03-29,CAROLLO SRL,6,0,45.7542,8.89674
2017-03-29,GER.MAC STAMPI SAS,1,0,45.7133,8.90516
2017-03-29,COLOR-PLAST SRL,3,0,45.7133,8.90516
2017-03-30,EUROMINUTERIE SRL,1,0,45.4077,11.8734
2017-03-30,CAROLLO SRL,1,1,45.7542,8.89674
2017-03-30,METALLURGICA LOMBARDA SRL,4,0,45.3987,8.91623
2017-03-30,NOVA RAMPALUX SNC,7,0,45.6915,8.93154
2017-03-31,ITALIAN CONVERTER SRL,1,1,45.3171,8.8586
2017-03-31,COLOR-PLAST SRL,2,0,45.7133,8.90516
2017-03-31,MAFLEX SRL,1,0,45.6851,8.93814
2017-04-03,OMS ITALIA SRL,6,3,43.7755,11.4399
2017-04-04,C&C METAL PRODUCTS CORP.METAL,2,1,40.8929,-73.9726
2017-04-04,QUADRIFER SRL,7,0,45.7133,8.90516
