type,data,company,n,delta,Lat,Lon
S,2017-02-01,GOERLACH  BESATZSCHMUCK  GmbH,1,0,47.8804,10.6222
toC,2017-02-01,GDA SRL,1,0,40.1743,18.1678
toC,2017-02-01,LN MANIFACTURING SRL,3,0,40.8359,14.2488
toC,2017-02-01,JEANNOT S SRL,1,0,41.1992,16.5968
toC,2017-02-01,EFFEUNO SRL,4,0,41.8933,12.4829
toC,2017-02-01,FENDI SRL,37,0,41.8933,12.4829
toC,2017-02-01,MERCURI MODA SRL,4,0,43.2567,13.7608
toC,2017-02-01,BOEMOS SPA - INDUSTRIA CALZATU,1,0,43.7292,10.8082
toC,2017-02-01,BOTTONIFICIO LEONARDO SRL,3,0,43.7332,11.0209
toC,2017-02-01,IL GIOIELLO DI FIRENZE SRL,1,0,43.7522,11.32
toC,2017-02-01,SACCARDI PELLETTERIE SRL,2,0,43.7567,11.1848
toC,2017-02-01,AQUAZZURA ITALIA SRL,2,0,43.7699,11.2556
toC,2017-02-01,BULGARI ACCESSORI SRL,8,0,43.7699,11.2556
toC,2017-02-01,SALVATORE FERRAGAMO SPA,3,0,43.7699,11.2556
toC,2017-02-01,RUCOLINE SPA,2,0,43.8295,10.5303
toC,2017-02-01,ITALFIBBIA SRL,64,0,43.8317,11.1992
toC,2017-02-01,RICCI ENRICO SRL,4,0,44.1065,12.4149
toC,2017-02-01,ROSSIMODA SPA,8,0,45.4433,11.9834
toC,2017-02-01,DOLCE & GABBANA SRL,8,0,45.4668,9.1905
toC,2017-02-01,PRADA SPA,9,0,45.4668,9.1905
toC,2017-02-01,VALENTINO SPA,6,0,45.4668,9.1905
toC,2017-02-01,ARTIGIANI VENEZIANI SRL,1,0,45.4991,12.5449
toC,2017-02-01,SEYMECHAMLOU SRL,1,0,45.5567,8.97774
toC,2017-02-01,GIOVANNI MONTE SRL,4,0,45.5586,8.94789
toC,2017-02-01,CALZATURIFICIO MARTINI SRL,2,0,45.7465,8.43607
