data,company,n,delta,Lat,Lon
2017-02-01,MADEBLACK SRL,76,0,45.6508,9.84802
2017-02-01,EGAL SRL,39,0,45.5962,9.01754
2017-02-01,GESM SPA FASHION FACTORY,2,0,45.5846,10.4382
2017-02-02,MADEBLACK SRL,36,0,45.6508,9.84802
2017-02-02,XIA JINGYE,3,0,45.6158,9.08152
2017-02-02,EGAL SRL,9,0,45.5962,9.01754
2017-02-02,GESM SPA FASHION FACTORY,5,0,45.5846,10.4382
2017-02-03,MADEBLACK SRL,79,0,45.6508,9.84802
2017-02-03,WORTRAD INTERNATIONAL SRL,4,1,45.6257,9.03733
2017-02-03,EGAL SRL,52,0,45.5962,9.01754
2017-02-03,GESM SPA FASHION FACTORY,6,0,45.5846,10.4382
2017-02-06,MAFLEX SRL,8,0,45.6851,8.93814
2017-02-06,MADEBLACK SRL,62,0,45.6508,9.84802
2017-02-06,XIA JINGYE,3,0,45.6158,9.08152
2017-02-06,EGAL SRL,23,0,45.5962,9.01754
2017-02-06,GESM SPA FASHION FACTORY,4,0,45.5846,10.4382
2017-02-07,MADEBLACK SRL,59,0,45.6508,9.84802
2017-02-07,WORTRAD INTERNATIONAL SRL,8,0,45.6257,9.03733
2017-02-07,XIA JINGYE,3,1,45.6158,9.08152
2017-02-07,EGAL SRL,22,0,45.5962,9.01754
2017-02-08,JIANG XIUJIN,24,0,45.7133,8.90516
2017-02-08,MADEBLACK SRL,41,0,45.6508,9.84802
2017-02-08,XIA JINGYE,5,0,45.6158,9.08152
2017-02-08,EGAL SRL,18,0,45.5962,9.01754
2017-02-09,MAFLEX SRL,1,0,45.6851,8.93814
2017-02-09,MADEBLACK SRL,55,0,45.6508,9.84802
2017-02-09,WORTRAD INTERNATIONAL SRL,6,0,45.6257,9.03733
2017-02-09,XIA JINGYE,6,0,45.6158,9.08152
2017-02-09,EGAL SRL,34,0,45.5962,9.01754
2017-02-10,JIANG XIUJIN,15,0,45.7133,8.90516
2017-02-10,MADEBLACK SRL,83,0,45.6508,9.84802
2017-02-10,EGAL SRL,33,0,45.5962,9.01754
2017-02-10,GESM SPA FASHION FACTORY,6,0,45.5846,10.4382
2017-02-11,WORTRAD INTERNATIONAL SRL,10,0,45.6257,9.03733
2017-02-11,EGAL SRL,2,1,45.5962,9.01754
2017-02-13,MAFLEX SRL,3,0,45.6851,8.93814
2017-02-13,MADEBLACK SRL,33,0,45.6508,9.84802
2017-02-13,EGAL SRL,18,0,45.5962,9.01754
2017-02-14,MAFLEX SRL,3,0,45.6851,8.93814
2017-02-14,MADEBLACK SRL,79,0,45.6508,9.84802
2017-02-14,WORTRAD INTERNATIONAL SRL,3,0,45.6257,9.03733
2017-02-14,EGAL SRL,39,0,45.5962,9.01754
2017-02-15,MAFLEX SRL,2,0,45.6851,8.93814
2017-02-15,MADEBLACK SRL,47,0,45.6508,9.84802
2017-02-15,WORTRAD INTERNATIONAL SRL,4,0,45.6257,9.03733
2017-02-15,EGAL SRL,19,0,45.5962,9.01754
2017-02-15,GESM SPA FASHION FACTORY,5,0,45.5846,10.4382
2017-02-16,MADEBLACK SRL,59,0,45.6508,9.84802
2017-02-16,WORTRAD INTERNATIONAL SRL,8,0,45.6257,9.03733
2017-02-16,EGAL SRL,28,0,45.5962,9.01754
2017-02-16,GESM SPA FASHION FACTORY,4,0,45.5846,10.4382
2017-02-17,MADEBLACK SRL,55,0,45.6508,9.84802
2017-02-17,WORTRAD INTERNATIONAL SRL,4,1,45.6257,9.03733
2017-02-17,XIA JINGYE,5,0,45.6158,9.08152
2017-02-17,EGAL SRL,25,0,45.5962,9.01754
2017-02-18,WORTRAD INTERNATIONAL SRL,17,1,45.6257,9.03733
2017-02-20,MAFLEX SRL,1,0,45.6851,8.93814
2017-02-20,MADEBLACK SRL,74,0,45.6508,9.84802
2017-02-20,EGAL SRL,36,0,45.5962,9.01754
2017-02-20,GESM SPA FASHION FACTORY,4,0,45.5846,10.4382
2017-02-21,MADEBLACK SRL,52,0,45.6508,9.84802
2017-02-21,WORTRAD INTERNATIONAL SRL,12,0,45.6257,9.03733
2017-02-21,EGAL SRL,49,0,45.5962,9.01754
2017-02-22,MADEBLACK SRL,27,0,45.6508,9.84802
2017-02-22,EGAL SRL,34,0,45.5962,9.01754
2017-02-22,GESM SPA FASHION FACTORY,2,1,45.5846,10.4382
2017-02-23,JIANG XIUJIN,1,0,45.7133,8.90516
2017-02-23,MADEBLACK SRL,33,0,45.6508,9.84802
2017-02-23,EGAL SRL,11,0,45.5962,9.01754
2017-02-23,GESM SPA FASHION FACTORY,1,1,45.5846,10.4382
2017-02-24,MADEBLACK SRL,40,0,45.6508,9.84802
2017-02-24,WORTRAD INTERNATIONAL SRL,10,1,45.6257,9.03733
2017-02-24,EGAL SRL,16,0,45.5962,9.01754
2017-02-27,MADEBLACK SRL,86,0,45.6508,9.84802
2017-02-27,EGAL SRL,25,0,45.5962,9.01754
2017-02-27,GESM SPA FASHION FACTORY,2,0,45.5846,10.4382
2017-02-28,MADEBLACK SRL,81,0,45.6508,9.84802
2017-02-28,WORTRAD INTERNATIONAL SRL,19,0,45.6257,9.03733
2017-02-28,EGAL SRL,18,1,45.5962,9.01754
2017-03-01,MAFLEX SRL,1,0,45.6851,8.93814
2017-03-01,MADEBLACK SRL,43,0,45.6508,9.84802
2017-03-01,EGAL SRL,21,0,45.5962,9.01754
2017-03-01,GESM SPA FASHION FACTORY,1,1,45.5846,10.4382
2017-03-02,MADEBLACK SRL,49,0,45.6508,9.84802
2017-03-02,WORTRAD INTERNATIONAL SRL,9,0,45.6257,9.03733
2017-03-02,EGAL SRL,18,0,45.5962,9.01754
2017-03-02,GESM SPA FASHION FACTORY,5,0,45.5846,10.4382
2017-03-03,MAFLEX SRL,4,0,45.6851,8.93814
2017-03-03,MADEBLACK SRL,42,0,45.6508,9.84802
2017-03-03,EGAL SRL,16,0,45.5962,9.01754
2017-03-06,MADEBLACK SRL,29,0,45.6508,9.84802
